season,date,level,competition,city,country,continent,altitude,segment,jump,rotation,fall,bonus,combination,jump_number,jump_bv,goe,point_value
2021-2022,,Senior,CS,Boston,United States,North America,,SP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,SP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,SP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,SP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,SP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,GP,Las Vegas,United States,North America,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,SP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,SP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,SP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,EU,Tallinn,Estonia,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,SP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,SP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,SP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
2021-2022,,Senior,OLY,Beijing,China,Asia,,FP,,,,,,,,,0.00
