season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,2,2A,,,,,,1,3.30,3.57,1.18,4.48
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,3,3F+3T,,,,,1,2,9.50,3.57,1.89,11.39
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,4,2A,,,,,,1,3.30,3.00,0.99,4.29
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,5,3Lz+3Lo,,,,1,1,2,11.88,3.71,2.19,14.07
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,3.29,1.94,13.71
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,7,3F,,,,1,,1,5.83,2.71,1.44,7.27
2018-2019,2018-12-06,Junior,JGPF,Vancouver,Canada,North America,90,8176,SP,1,2A,,,,,,1,3.30,4.00,1.32,4.62
2018-2019,2018-12-06,Junior,JGPF,Vancouver,Canada,North America,90,8176,SP,2,3F,,,,,,1,5.30,3.71,1.97,7.27
2018-2019,2018-12-06,Junior,JGPF,Vancouver,Canada,North America,90,8176,SP,3,3Lz+3Lo,,,,1,1,2,11.88,3.29,1.94,13.82
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,1,4Lz,,,,,,1,11.50,-3.00,-3.45,8.05
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,2,4Lz,,u,1,,,1,6.04,-5.00,-4.32,1.72
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,3,4T,,,,,,1,9.50,0.57,0.54,10.04
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,4,2A+3T,,,,,1,2,7.50,2.14,0.90,8.40
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,5,3Lz+3Lo,,,,1,1,2,11.88,0.71,0.51,12.39
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,2.57,1.52,13.29
2018-2019,2018-12-08,Junior,JGPF,Vancouver,Canada,North America,90,8176,FP,7,3F,,,,1,,1,5.83,3.14,1.67,7.50
2018-2019,2018-12-21,Senior,NC,Saransk,Russia,Europe,160,512,SP,1,2A,,,,,,1,3.30,3.14,1.04,4.34
2018-2019,2018-12-21,Senior,NC,Saransk,Russia,Europe,160,512,SP,2,3F,,,,,,1,5.30,3.43,1.82,7.12
2018-2019,2018-12-21,Senior,NC,Saransk,Russia,Europe,160,512,SP,3,3Lz+3Lo,,,,1,1,2,11.88,4.14,2.44,14.32
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,1,4Lz,,,,,,1,11.50,2.86,3.29,14.79
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,2,4T,,u,1,,,1,7.13,-5.00,-3.57,3.56
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,3,3F+3T,,,,,1,2,9.50,2.86,1.51,11.01
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,4,2A,,,,,,1,3.30,2.86,0.94,4.24
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,5,3Lz+3Lo,,,,1,1,2,11.88,3.00,1.77,13.65
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,3.00,1.77,13.54
2018-2019,2018-12-22,Senior,NC,Saransk,Russia,Europe,160,512,FP,7,3F,,,,1,,1,5.83,2.86,1.51,7.34
2018-2019,2019-02-02,Junior,NC,Perm,Russia,Europe,171,1155,SP,1,2A,,,,,,1,3.30,3.71,1.23,4.53
2018-2019,2019-02-02,Junior,NC,Perm,Russia,Europe,171,1155,SP,2,3F,,,,,,1,5.30,4.14,2.20,7.50
2018-2019,2019-02-02,Junior,NC,Perm,Russia,Europe,171,1155,SP,3,3Lz+3Lo,,u,1,1,1,2,10.54,-5.00,-2.95,7.59
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,1,4T+3T,,,,,1,2,13.70,4.29,4.07,17.77
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,2,4T,,,,,,1,9.50,3.71,3.53,13.03
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,3,2A,,,,,,1,3.30,3.57,1.18,4.48
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,4,2A,,,,,,1,3.30,3.29,1.08,4.38
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,5,3Lz+3Lo,,,,1,1,2,11.88,3.43,2.02,13.90
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,3.14,1.85,13.62
2018-2019,2019-02-03,Junior,NC,Perm,Russia,Europe,171,1155,FP,7,3F,,,,1,,1,5.83,3.29,1.74,7.57
2018-2019,2019-03-08,Junior,JWC,Zagreb,Croatia,Europe,115,1866,SP,1,2A,,,,,,1,3.30,3.14,1.04,4.34
2018-2019,2019-03-08,Junior,JWC,Zagreb,Croatia,Europe,115,1866,SP,2,3F,,,,,,1,5.30,3.43,1.82,7.12
